geo_aggregation_level	industry_code	industry_description	industry_ubiquity	industry_employment_share_nation	industry_complexity	industry_complexity_percentile
3	111000	Crop Production	438	0.00507595938158635	-1.45672954605826	5.07
3	112000	Animal Production	454	0.00265160687353591	-1.7396249370859	1.8
3	113110	Timber Tract Operations	255	2.52976512467405e-05	-1.04774694789892	13.64
3	113210	Forest Nurseries and Gathering of Forest Products	213	1.70371936967844e-05	-0.79620895967813	20.51
3	113310	Logging	362	0.000357000913308311	-1.3342644641987	6.24
3	114111	Finfish Fishing	161	6.95656727141094e-05	0.26216814497866	66.6
3	114112	Shellfish Fishing	122	6.79996276369302e-05	0.00874370079453274	56.24
3	114119	Other Marine Fishing	88	9.52247189786605e-06	0.858357628102293	81.71
3	114210	Hunting and Trapping	318	3.84857011823996e-05	-1.34946217059064	5.81
3	115111	Cotton Ginning	129	3.50151617256472e-05	-2.0135259736325	0.42
3	115112	Soil Preparation, Planting, and Cultivating	366	0.000198233771912384	-1.62132811963818	2.64
3	115113	Crop Harvesting, Primarily by Machine	168	6.93591612753605e-05	-1.77541856434055	1.37
3	115114	Postharvest Crop Activities (except Cotton Ginning)	161	0.000493057532870713	-1.41615401570601	5.39
3	115115	Farm Labor Contractors and Crew Leaders	354	0.00196368858891904	-1.88784571877511	0.74
3	115116	Farm Management Services	156	0.000132534452245962	-1.47331994026525	4.76
3	115210	Support Activities for Animal Production	389	0.000251450622392205	-1.17992867943966	9.83
3	115310	Support Activities for Forestry	258	0.000144282658539233	-0.885888969962259	17.44
3	211120	Crude Petroleum Extraction	115	0.000485347772490754	-1.75204217681403	1.59
3	211130	Natural Gas Extraction	120	0.000218982435077794	-1.63237990497322	2.22
3	212114	Surface Coal Mining	50	0.000105544554487251	-1.56750911381726	3.49
3	212115	Underground Coal Mining	33	0.000133067940129397	-1.6063435571138	2.96
3	212210	Iron Ore Mining	12	3.04661736443172e-05	-1.15847462583182	10.47
3	212220	Gold Ore and Silver Ore Mining	21	9.45191382296018e-05	0.573818090211111	75.26
3	212230	Copper, Nickel, Lead, and Zinc Mining	23	0.000115497258549178	0.596762016548793	75.69
3	212290	Other Metal Ore Mining	28	2.75291220709995e-05	0.666967237885873	77.8
3	212311	Dimension Stone Mining and Quarrying	118	4.49334472144487e-05	-0.478369765140418	33.62
3	212312	Crushed and Broken Limestone Mining and Quarrying	224	0.000138311036102077	-1.1050453637733	11.42
3	212313	Crushed and Broken Granite Mining and Quarrying	72	3.6816400385846e-05	-0.00457008399951824	55.81
3	212319	Other Crushed and Broken Stone Mining and Quarrying	144	4.77328244952671e-05	-0.134310017194473	50.21
3	212321	Construction Sand and Gravel Mining	344	0.000193145559518765	-0.848055619524443	19.13
3	212322	Industrial Sand Mining	63	5.17540611220166e-05	-0.884922808785922	17.55
