geo_aggregation_level	industry_code	industry_complexity	industry_ubiquity	industry_centrality	industry_description
1	111000	-2.31179533334964	1640	0.00127158483395472	Crop Production
1	112000	-2.41973845760869	1700	0.00124700821306045	Animal Production
1	113110	-1.33560517246551	668	0.00122026605175308	Timber Tract Operations
1	113210	-1.0707651628183	462	0.0011438147575356	Forest Nurseries and Gathering of Forest Products
1	113310	-1.95999707495972	1367	0.00130340644146838	Logging
1	114111	-1.04797319188697	506	0.0011165271371257	Finfish Fishing
1	114112	-1.23026941527017	421	0.00096267973448052	Shellfish Fishing
1	114119	0.0979326724064322	186	0.000817908316812755	Other Marine Fishing
1	114210	-1.74810767874406	972	0.00129162437072422	Hunting and Trapping
1	115111	-2.14763089457568	342	0.000713833729714775	Cotton Ginning
1	115112	-2.48960806564465	1443	0.00124091236107217	Soil Preparation, Planting, and Cultivating
1	115113	-2.51918785592246	501	0.00089486605974025	Crop Harvesting, Primarily by Machine
1	115114	-2.10268605279371	468	0.000914978889660243	Postharvest Crop Activities (except Cotton Ginning)
1	115115	-2.69043946205254	1800	0.00118138253650314	Farm Labor Contractors and Crew Leaders
1	115116	-2.25315974020771	560	0.000972121894382978	Farm Management Services
1	115210	-2.13845157809627	1607	0.00132945567433283	Support Activities for Animal Production
1	115310	-1.75259614342544	900	0.00123345092390846	Support Activities for Forestry
1	211120	-2.46863841226634	377	0.000765157775542667	Crude Petroleum Extraction
1	211130	-1.94413010759007	326	0.000788086826234481	Natural Gas Extraction
1	212114	-1.59931545382461	130	0.000395806140639666	Surface Coal Mining
1	212115	-1.3308155419279	88	0.000283725655074083	Underground Coal Mining
1	212210	-0.049670080448626	18	9.32961601332642e-05	Iron Ore Mining
1	212220	-1.42543174782904	56	0.000179476605193337	Gold Ore and Silver Ore Mining
1	212230	-0.761355759213873	40	0.000171038842035328	Copper, Nickel, Lead, and Zinc Mining
1	212290	-0.91224367844105	58	0.000233804419565125	Other Metal Ore Mining
1	212311	-1.29326560523354	283	0.000802564380694008	Dimension Stone Mining and Quarrying
1	212312	-1.199841898287	587	0.00118126641789124	Crushed and Broken Limestone Mining and Quarrying
1	212313	0.194545831878237	182	0.000757936900884971	Crushed and Broken Granite Mining and Quarrying
1	212319	-0.739959788036082	298	0.000972583723241706	Other Crushed and Broken Stone Mining and Quarrying
1	212321	-1.30921292502788	863	0.00139886756101981	Construction Sand and Gravel Mining
1	212322	-1.02887408675079	136	0.000531590433746752	Industrial Sand Mining
1	212323	-1.17057008179186	98	0.000385891670229777	Kaolin, Clay, and Ceramic and Refractory Minerals Mining
1	212390	-1.22309578178258	212	0.000674477985617075	Other Nonmetallic Mineral Mining and Quarrying
1	213111	-2.19392773711212	431	0.000876816972852444	Drilling Oil and Gas Wells
1	213112	-2.55063812229719	541	0.000901821728292971	Support Activities for Oil and Gas Operations
1	213113	-1.33469341341733	150	0.000492060316651089	Support Activities for Coal Mining
1	213114	-0.737796755038633	109	0.000442195285492411	Support Activities for Metal Mining
1	213115	-0.531828405464968	185	0.000742980043445845	Support Activities for Nonmetallic Minerals (except Fuels) Mining
1	221111	-0.856089898277417	270	0.000850126379516246	Hydroelectric Power Generation
1	221112	-0.785227548784947	463	0.00117386412362652	Fossil Fuel Electric Power Generation
1	221113	0.472414739906057	63	0.000362158459943839	Nuclear Electric Power Generation
1	221114	0.487934884596089	173	0.000835740950280694	Solar Electric Power Generation
1	221115	-1.74296343025389	229	0.000666323088199738	Wind Electric Power Generation
1	221116	-0.0798849228552861	28	0.000164901575853934	Geothermal Electric Power Generation
1	221117	0.301349781170106	100	0.000530995499721847	Biomass Electric Power Generation
1	221118	0.883983505100351	123	0.000712341020721309	Other Electric Power Generation
1	221121	-0.49938242949195	249	0.000893431522926739	Electric Bulk Power Transmission and Control
1	221122	-1.72873546512119	1486	0.00138873744141084	Electric Power Distribution
1	221210	-1.15934081790944	678	0.00130185102621364	Natural Gas Distribution
1	221310	-1.48831660115826	1057	0.00138358254927432	Water Supply and Irrigation Systems
1	221320	-0.447452673754829	385	0.00116367294530551	Sewage Treatment Facilities
1	221330	1.88258917171481	74	0.000529224086834989	Steam and Air-Conditioning Supply
1	236115	-1.50423672112516	1552	0.00149588801990972	New Single-Family Housing Construction (except For-Sale Builders)
1	236116	0.158380008099038	387	0.001291702596048	New Multifamily Housing Construction (except For-Sale Builders)
1	236117	-1.07187464396624	958	0.00149436849000041	New Housing For-Sale Builders
1	236118	-1.33030160088768	1406	0.00152612735893443	Residential Remodelers
1	236210	-1.11402171848011	579	0.00121137925466226	Industrial Building Construction
1	236220	-1.17540587541024	925	0.00142306329089097	Commercial and Institutional Building Construction
1	237110	-1.5972438498263	1187	0.00142356435865437	Water and Sewer Line and Related Structures Construction
1	237120	-1.59328437800948	498	0.00107249155966673	Oil and Gas Pipeline and Related Structures Construction
1	237130	-1.31043520532305	889	0.00138577149040252	Power and Communication Line and Related Structures Construction
1	237210	-1.16125445261784	631	0.0012724620631044	Land Subdivision
1	237310	-1.00698428115074	990	0.00150065514773373	Highway, Street, and Bridge Construction
1	237990	-1.5191601133184	946	0.00134881614727968	Other Heavy and Civil Engineering Construction
1	238110	-1.50611826439877	1253	0.00148522227503421	Poured Concrete Foundation and Structure Contractors
1	238120	-0.868451422058058	655	0.00139604205031649	Structural Steel and Precast Concrete Contractors
1	238130	-1.46225700859028	908	0.001405729729837	Framing Contractors
1	238140	-1.10482161670776	1038	0.00152138779195301	Masonry Contractors
1	238150	-0.0889501959521539	635	0.00154747315821381	Glass and Glazing Contractors
1	238160	-0.762989631704077	831	0.00155761357190074	Roofing Contractors
1	238170	-1.26991880848	1220	0.00153329459724224	Siding Contractors
1	238190	-1.46883745285881	1014	0.00143059501434825	Other Foundation, Structure, and Building Exterior Contractors
1	238210	-0.939486092435792	919	0.00153813543644777	Electrical Contractors and Other Wiring Installation Contractors
1	238220	-0.656842228275398	1011	0.00164764111660069	Plumbing, Heating, and Air-Conditioning Contractors
1	238290	-1.13961334064956	838	0.00140033067726521	Other Building Equipment Contractors
1	238310	-0.856261421530662	749	0.00147507430611174	Drywall and Insulation Contractors
1	238320	-0.927659554405757	1039	0.00156319571686035	Painting and Wall Covering Contractors
1	238330	-1.06779163041184	1054	0.00154890244635379	Flooring Contractors
1	238340	-0.560440439455606	684	0.00149709676231846	Tile and Terrazzo Contractors
1	238350	-1.32729667674954	1337	0.00154637655857335	Finish Carpentry Contractors
1	238390	-0.266207243625711	594	0.0014914941835174	Other Building Finishing Contractors
1	238910	-1.79232341515557	2171	0.00143029023256366	Site Preparation Contractors
1	238990	-1.44830256846831	1437	0.0015296455318682	All Other Specialty Trade Contractors
1	311111	-0.264027050021861	226	0.000864784111508525	Dog and Cat Food Manufacturing
1	311119	-1.65984906694439	735	0.00121970343247822	Other Animal Food Manufacturing
1	311211	-0.836807663660612	225	0.00079600587469666	Flour Milling
1	311212	-1.51938155843076	59	0.000221665861390626	Rice Milling
1	311213	0.233118869658917	73	0.000389468590626839	Malt Manufacturing
1	311221	-0.894287767296757	55	0.000244489813932981	Wet Corn Milling and Starch Manufacturing
1	311224	-1.47474536093574	188	0.000597143134122114	Soybean and Other Oilseed Processing
1	311225	-0.38126480346795	143	0.000663086879223494	Fats and Oils Refining and Blending
1	311230	-0.206928794949283	101	0.000502616266014531	Breakfast Cereal Manufacturing
1	311313	-1.51345672754089	27	0.000122248084825083	Beet Sugar Manufacturing
1	311314	0.520834905324199	33	0.000201961819603702	Cane Sugar Manufacturing
1	311340	0.57008116319686	179	0.000893471178030262	Nonchocolate Confectionery Manufacturing
1	311351	1.49863095355174	97	0.000636703989908756	Chocolate and Confectionery Manufacturing from Cacao Beans
1	311352	0.520324333373969	290	0.00116545191923642	Confectionery Manufacturing from Purchased Chocolate
1	311411	-0.0963533664911574	97	0.000476477122692953	Frozen Fruit, Juice, and Vegetable Manufacturing
1	311412	0.436373884262418	192	0.00093915264797139	Frozen Specialty Food Manufacturing
1	311421	-0.218120048516006	297	0.00105199254181051	Fruit and Vegetable Canning
1	311422	0.785289149965002	57	0.000363441721932511	Specialty Canning
1	311423	-0.275075700668885	108	0.000547843844755897	Dried and Dehydrated Food Manufacturing
1	311511	0.516444763639854	251	0.00110587332785259	Fluid Milk Manufacturing
1	311512	0.443036396915562	46	0.000284838205787991	Creamery Butter Manufacturing
1	311513	-0.903509596071609	228	0.000768833276090014	Cheese Manufacturing
1	311514	-0.751768895753129	126	0.00051995113070162	Dry, Condensed, and Evaporated Dairy Product Manufacturing
1	311520	-0.197526818094226	212	0.000876584914121741	Ice Cream and Frozen Dessert Manufacturing
1	311611	-2.30698544041745	557	0.000930060209983901	Animal (except Poultry) Slaughtering
1	311612	-1.24494235477303	510	0.00115298744274637	Meat Processed from Carcasses
1	311613	-1.06454111289245	170	0.000623331716979661	Rendering and Meat Byproduct Processing
1	311615	-1.26349927971209	239	0.000715917031548576	Poultry Processing
1	311710	-0.458851873590868	174	0.000649266603344194	Seafood Product Preparation and Packaging
1	311811	-0.407356810019303	659	0.00145292094779742	Retail Bakeries
1	311812	0.794107290592787	336	0.00134559514306012	Commercial Bakeries
1	311813	1.32359218905366	100	0.000673909055798888	Frozen Cakes, Pies, and Other Pastries Manufacturing
1	311821	1.12546708634908	138	0.000822146844362291	Cookie and Cracker Manufacturing
1	311824	1.17232845184058	165	0.000971698536064254	Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour
1	311830	0.375376051437478	114	0.000659249395523352	Tortilla Manufacturing
1	311911	0.76600641300508	101	0.000598780471050613	Roasted Nuts and Peanut Butter Manufacturing
1	311919	0.608143423154733	155	0.000832417957765955	Other Snack Food Manufacturing
1	311920	0.455125716267751	277	0.00115052783799016	Coffee and Tea Manufacturing
1	311930	2.22558531893793	76	0.000608310708798846	Flavoring Syrup and Concentrate Manufacturing
1	311941	0.995662589020403	129	0.000763643655626678	Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing
1	311942	0.63045654432963	181	0.000946469712765228	Spice and Extract Manufacturing
1	311991	0.886358296219012	190	0.000971871377207616	Perishable Prepared Food Manufacturing
